Item,Item Class
vegetable scraps,Green
pine needles,Brown
woody prunings,Brown
grass clippings,Green
cucumber peels,Green
hay,Brown
newspaper,Brown
woody prunings,Brown
cucumber peels,Green
tree bark,Brown
tea leaves,Green
potato peels,Green
fruit scraps,Green
shredded paper,Brown
paper,Brown
paper,Brown
newspaper,Brown
hay,Brown
straw,Brown
coffee grounds,Green
bark mulch,Brown
dry leaves,Brown
apple cores,Green
bark mulch,Brown
fruit scraps,Green
cardboard,Brown
wood chips,Brown
tree bark,Brown
pine needles,Brown
woody prunings,Brown
zucchini peels,Green
bark mulch,Brown
pine needles,Brown
wood chips,Brown
apple cores,Green
vegetable scraps,Green
dried grass,Brown
dry leaves,Brown
woody prunings,Brown
broccoli stems,Green
broccoli stems,Green
melon rinds,Green
coconut husks,Brown
nut shells,Brown
cucumber peels,Green
carrot peels,Green
spinach stems,Green
melon rinds,Green
apple cores,Green
coffee grounds,Green
broccoli stems,Green
green yard waste,Green
sawdust,Brown
coffee grounds,Green
fruit scraps,Green
coffee grounds,Green
toilet paper rolls,Brown
cucumber peels,Green
cardboard,Brown
cardboard,Brown
carrot peels,Green
shredded paper,Brown
vegetable scraps,Green
corn stalks,Brown
corn stalks,Brown
toilet paper rolls,Brown
broccoli stems,Green
twigs,Brown
lettuce leaves,Green
pine needles,Brown
corn stalks,Brown
newspaper,Brown
potato peels,Green
dry leaves,Brown
dry leaves,Brown
cardboard,Brown
bark mulch,Brown
strawberry tops,Green
pepper tops,Green
nut shells,Brown
dried grass,Brown
cucumber peels,Green
woody prunings,Brown
lettuce leaves,Green
toilet paper rolls,Brown
paper,Brown
nut shells,Brown
newspaper,Brown
bark mulch,Brown
fruit scraps,Green
spinach stems,Green
broccoli stems,Green
grass clippings,Green
cucumber peels,Green
cucumber peels,Green
tree bark,Brown
strawberry tops,Green
banana peels,Green
zucchini peels,Green
grass clippings,Green
wood chips,Brown
cucumber peels,Green
woody prunings,Brown
woody prunings,Brown
spinach stems,Green
woody prunings,Brown
melon rinds,Green
sawdust,Brown
pepper tops,Green
woody prunings,Brown
fruit scraps,Green
grass clippings,Green
green yard waste,Green
vegetable scraps,Green
zucchini peels,Green
straw,Brown
broccoli stems,Green
green yard waste,Green
egg shells,Green
coconut husks,Brown
paper,Brown
potato peels,Green
straw,Brown
nut shells,Brown
cardboard,Brown
broccoli stems,Green
onion peels,Green
twigs,Brown
egg shells,Green
carrot peels,Green
potato peels,Green
potato peels,Green
egg shells,Green
strawberry tops,Green
cardboard,Brown
tea leaves,Green
banana peels,Green
pepper tops,Green
bark mulch,Brown
fruit scraps,Green
zucchini peels,Green
pepper tops,Green
carrot peels,Green
coconut husks,Brown
sawdust,Brown
lettuce leaves,Green
cucumber peels,Green
cucumber peels,Green
hay,Brown
zucchini peels,Green
banana peels,Green
coconut husks,Brown
woody prunings,Brown
paper,Brown
hay,Brown
pepper tops,Green
coffee grounds,Green
cardboard,Brown
carrot peels,Green
fruit scraps,Green
green yard waste,Green
coconut husks,Brown
shredded paper,Brown
tea leaves,Green
carrot peels,Green
onion peels,Green
strawberry tops,Green
paper towels,Brown
sawdust,Brown
broccoli stems,Green
egg shells,Green
apple cores,Green
pine needles,Brown
dry leaves,Brown
hay,Brown
cucumber peels,Green
egg shells,Green
tree bark,Brown
banana peels,Green
potato peels,Green
grass clippings,Green
sawdust,Brown
newspaper,Brown
woody prunings,Brown
apple cores,Green
paper,Brown
green yard waste,Green
wood chips,Brown
zucchini peels,Green
banana peels,Green
apple cores,Green
zucchini peels,Green
straw,Brown
newspaper,Brown
spinach stems,Green
coconut husks,Brown
cardboard,Brown
tea leaves,Green
tree bark,Brown
newspaper,Brown
spinach stems,Green
pepper tops,Green
zucchini peels,Green
dry leaves,Brown
wood chips,Brown
coconut husks,Brown
carrot peels,Green
tree bark,Brown
newspaper,Brown
woody prunings,Brown
grass clippings,Green
hay,Brown
grass clippings,Green
twigs,Brown
tea leaves,Green
broccoli stems,Green
green yard waste,Green
egg shells,Green
shredded paper,Brown
shredded paper,Brown
zucchini peels,Green
twigs,Brown
coconut husks,Brown
toilet paper rolls,Brown
spinach stems,Green
coconut husks,Brown
zucchini peels,Green
banana peels,Green
shredded paper,Brown
twigs,Brown
dried grass,Brown
coconut husks,Brown
zucchini peels,Green
pine needles,Brown
coffee grounds,Green
pepper tops,Green
grass clippings,Green
newspaper,Brown
shredded paper,Brown
coffee grounds,Green
pepper tops,Green
corn stalks,Brown
grass clippings,Green
straw,Brown
newspaper,Brown
paper towels,Brown
tea leaves,Green
shredded paper,Brown
cucumber peels,Green
dried grass,Brown
hay,Brown
shredded paper,Brown
grass clippings,Green
wood chips,Brown
paper,Brown
corn stalks,Brown
dry leaves,Brown
cardboard,Brown
wood chips,Brown
onion peels,Green
paper,Brown
newspaper,Brown
newspaper,Brown
tea leaves,Green
spinach stems,Green
tea leaves,Green
